link,name,hall_of_fame,active_player,years_played,career_batting_average,career_hits,career_HRs,career_WAR,career_RBIs,career_runs,career_OBP,career_SLG,career_OPS,world_series_wins,golden_glove_awards,mvps,career_hitting_titles,silver_slugger_awards,all_star_apps
http://www.baseball-reference.com/players/a/aaronha01.shtml,Henry Aaron,True,False,23,.305,3771,755,143.1,2297,2174,.374,.555,.928,1,3,1,2,0,25
http://www.baseball-reference.com/players/a/aaronto01.shtml,Tommie Aaron,False,False,7,.229,216,13,-2.8,94,102,.292,.327,.619,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abadan01.shtml,Andy Abad,False,False,3,.095,2,0,-0.4,0,1,.240,.095,.335,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abadijo01.shtml,John Abadie,False,False,1,.224,11,0,-0.1,5,4,.224,.224,.449,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbated01.shtml,Ed Abbaticchio,False,False,9,.254,772,11,8.7,324,355,.325,.325,.650,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbeych01.shtml,Charlie Abbey,False,False,5,.281,493,19,1.7,280,307,.351,.404,.755,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotfr01.shtml,Fred Abbott,False,False,3,.209,107,1,0.5,49,48,.248,.279,.527,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotje01.shtml,Jeff Abbott,False,False,5,.263,157,18,-1.4,83,82,.307,.416,.724,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotku01.shtml,Kurt Abbott,False,False,9,.256,523,62,0.5,242,273,.305,.423,.728,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotod01.shtml,Ody Abbott,False,False,1,.186,13,0,-0.4,6,2,.250,.243,.493,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abercda01.shtml,Frank Abercrombie,False,False,1,.000,0,0,-0.1,0,0,.000,.000,.000,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abercre01.shtml,Reggie Abercrombie,False,False,3,.223,86,9,-0.2,34,65,.274,.355,.629,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abernbr01.shtml,Brent Abernathy,False,False,4,.244,212,8,0.0,79,97,.297,.325,.622,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abernja01.shtml,James Abernathy,False,False,3,.262,27,0,0.2,14,13,.350,.291,.642,0,0,0,0,0,1
http://www.baseball-reference.com/players/a/aberscl01.shtml,Cliff Aberson,False,False,3,.251,45,5,0.1,26,25,.343,.408,.751,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abnersh01.shtml,Shawn Abner,False,False,6,.227,191,11,-1.3,71,89,.269,.323,.591,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abramca01.shtml,Cal Abrams,False,False,8,.269,433,32,8.5,138,257,.386,.392,.778,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreubo01.shtml,Bobby Abreu,False,False,18,.291,2470,288,60.2,1363,1453,.395,.475,.870,0,1,0,0,1,2
http://www.baseball-reference.com/players/a/abreueu01.shtml,Eufemio Abreu,False,False,5,.241,227,2,-0.6,87,102,.302,.314,.615,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreujo01.shtml,Joe Abreu,False,False,1,.214,6,1,0.1,3,4,.313,.357,.670,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreujo02.shtml,José Abreu,False,True,8,.290,1262,228,27.7,788,612,.350,.515,.865,0,0,1,0,3,3
http://www.baseball-reference.com/players/a/abreuto01.shtml,Tony Abreu,False,False,6,.254,147,6,-0.5,60,61,.283,.373,.656,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abstebi01.shtml,Bill Abstein,False,False,3,.242,150,1,-0.4,76,54,.281,.315,.596,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/ackledu01.shtml,Dustin Ackley,False,False,6,.241,512,46,7.7,216,261,.304,.367,.671,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/acostme01.shtml,Merito Acosta,False,False,5,.255,111,0,0.7,37,56,.354,.307,.661,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/acunaro01.shtml,Ronald Acuña Jr.,False,True,4,.281,426,105,14.9,246,323,.376,.549,.925,0,0,0,0,2,2
http://www.baseball-reference.com/players/a/adairje01.shtml,Jerry Adair,False,False,13,.254,1022,57,8.4,366,378,.292,.347,.639,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adairji01.shtml,Jimmy Adair,False,False,1,.276,21,0,-0.1,3,9,.286,.342,.628,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamecr01.shtml,Cristhian Adames,False,False,5,.213,70,2,-1.2,22,32,.289,.284,.573,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamewi01.shtml,Willy Adames,False,True,4,.262,393,63,11.1,182,218,.331,.444,.776,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adams05.shtml,Adams,False,False,1,,0,0,0.0,0,0,,,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsbe01.shtml,Bert Adams,False,False,8,.202,137,2,-3.0,45,37,.229,.248,.477,0,0,0,0,0,0
