link,hall_of_fame,active_player,years_played,career_era,career_whip,career_ip,career_wl,career_wins,career_ko9,career_war,career_saves,world_series_wins,cy_young_awards,mvps,era_titles,all_star_apps
http://www.baseball-reference.com/players/a/aardsda01.shtml,False,False,9,4.27,1.421,337.0,.471,16,9.1,,69,0,0,0,0,0
http://www.baseball-reference.com/players/a/aasedo01.shtml,False,False,13,3.80,1.390,1109.1,.524,66,5.2,,82,0,0,0,0,1
http://www.baseball-reference.com/players/a/abadfe01.shtml,False,True,10,3.77,1.306,348.1,.216,8,7.5,,2,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbeybe01.shtml,False,False,5,4.52,1.546,568.0,.355,22,2.6,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotco01.shtml,False,True,1,6.75,1.788,17.1,,0,6.2,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotda01.shtml,False,False,1,6.23,2.077,13.0,.000,0,0.7,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotgl01.shtml,False,False,11,4.39,1.366,1286.0,.428,62,3.4,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotji01.shtml,False,False,10,4.25,1.433,1674.0,.446,87,4.8,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotky01.shtml,False,False,4,5.20,1.543,185.1,.190,4,6.0,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotpa01.shtml,False,False,11,4.92,1.492,720.2,.538,43,6.2,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aberal01.shtml,False,False,6,4.18,1.433,389.1,.490,24,3.9,,14,0,0,0,0,0
http://www.baseball-reference.com/players/a/abernbi01.shtml,False,False,1,13.50,2.500,2.0,,0,0.0,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abernte01.shtml,False,False,3,11.07,2.361,20.1,.000,0,5.8,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abernte02.shtml,False,False,14,3.46,1.395,1148.1,.477,63,6.0,,149,0,0,0,0,0
http://www.baseball-reference.com/players/a/abernwo01.shtml,False,False,2,3.64,1.119,42.0,.500,1,1.3,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/ablesha01.shtml,False,False,3,4.04,1.528,71.1,.167,1,5.2,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abramge01.shtml,False,False,1,9.64,2.786,4.2,,0,1.9,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abregjo01.shtml,False,False,1,6.38,1.833,24.0,.500,1,4.9,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreual01.shtml,False,True,2,5.68,1.368,38.0,.667,2,8.8,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreubr01.shtml,False,True,3,4.69,1.417,48.0,.500,3,9.8,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreuju01.shtml,False,False,1,2.70,1.350,6.2,,0,16.2,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreuwi01.shtml,False,False,3,7.31,1.714,44.1,.000,0,7.7,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/accarje01.shtml,False,False,8,4.30,1.402,284.2,.333,10,6.5,,38,0,0,0,0,0
http://www.baseball-reference.com/players/a/acevedo01.shtml,False,True,1,3.27,1.182,11.0,,0,7.4,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/acevejo01.shtml,False,False,5,5.74,1.447,368.1,.419,18,6.2,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/aceveju01.shtml,False,False,8,4.33,1.444,570.0,.412,28,5.5,,53,0,0,0,0,0
http://www.baseball-reference.com/players/a/aceveal01.shtml,False,False,7,3.83,1.215,380.1,.660,31,6.7,,29,1,0,0,0,0
http://www.baseball-reference.com/players/a/achteaj01.shtml,False,False,3,3.92,1.452,62.0,.667,2,4.8,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/ackerji01.shtml,False,False,10,3.97,1.379,904.1,.402,33,4.8,,30,0,0,0,0,0
http://www.baseball-reference.com/players/a/ackerto01.shtml,False,False,4,4.12,1.354,380.1,.594,19,6.1,,8,0,0,0,0,0
http://www.baseball-reference.com/players/a/acklefr01.shtml,False,False,2,4.19,1.448,19.1,1.000,1,7.9,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/acostcy01.shtml,False,False,4,2.66,1.183,186.0,.591,13,5.3,,27,0,0,0,0,0
http://www.baseball-reference.com/players/a/acosted01.shtml,False,False,3,4.05,1.395,137.2,.400,6,4.6,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/acostjo01.shtml,False,False,3,4.51,1.561,213.1,.500,10,1.9,,4,0,0,0,0,0
http://www.baseball-reference.com/players/a/acostma01.shtml,False,False,6,3.99,1.415,248.0,.500,13,7.9,,9,0,0,0,0,0
http://www.baseball-reference.com/players/a/acrema01.shtml,False,False,4,5.17,1.598,127.0,.600,9,6.9,,2,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamja01.shtml,False,True,4,4.71,1.315,78.1,.600,6,10.9,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsac01.shtml,False,False,6,3.47,1.384,552.2,.554,41,2.8,,49,0,0,0,0,1
http://www.baseball-reference.com/players/a/adamsau01.shtml,False,False,4,6.45,1.659,75.1,1.000,2,6.9,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsau02.shtml,False,True,5,3.99,1.268,94.2,.556,5,13.9,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsba01.shtml,False,False,19,2.76,1.092,2995.1,.581,194,3.1,,16,2,0,0,0,0
http://www.baseball-reference.com/players/a/adamsbo01.shtml,False,False,1,7.94,2.294,5.2,,0,1.6,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsbo02.shtml,False,False,2,5.25,2.000,12.0,.000,0,3.8,,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsch01.shtml,False,False,3,8.42,1.848,41.2,.333,1,7.1,,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsda01.shtml,False,False,2,3.74,1.444,171.0,.267,4,2.8,,3,0,0,0,0,0
