link,name,hall_of_fame,active_player,years_played,career_era,career_whip,career_ip,career_wl,career_wins,career_so,career_war,career_saves,world_series_wins,cy_young_awards,mvps,era_titles,all_star_apps
http://www.baseball-reference.com/players/a/aardsda01.shtml,David Aardsma,False,False,9,4.27,1.421,337.0,.471,16,340,1.8,69,0,0,0,0,0
http://www.baseball-reference.com/players/a/aasedo01.shtml,Don Aase,False,False,13,3.80,1.390,1109.1,.524,66,641,15.0,82,0,0,0,0,1
http://www.baseball-reference.com/players/a/abadfe01.shtml,Fernando Abad,False,True,10,3.77,1.306,348.1,.216,8,290,3.1,2,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbeybe01.shtml,Bert Abbey,False,False,5,4.52,1.546,568.0,.355,22,161,0.3,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotco01.shtml,Cory Abbott,False,True,1,6.75,1.788,17.1,,0,12,-0.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotda01.shtml,Dan Abbott,False,False,1,6.23,2.077,13.0,.000,0,1,-0.4,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotgl01.shtml,Glenn Abbott,False,False,11,4.39,1.366,1286.0,.428,62,484,5.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotji01.shtml,Jim Abbott,False,False,10,4.25,1.433,1674.0,.446,87,888,19.6,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotky01.shtml,Kyle Abbott,False,False,4,5.20,1.543,185.1,.190,4,124,-1.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abbotpa01.shtml,Paul Abbott,False,False,11,4.92,1.492,720.2,.538,43,496,4.6,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aberal01.shtml,Al Aber,False,False,6,4.18,1.433,389.1,.490,24,169,0.7,14,0,0,0,0,0
http://www.baseball-reference.com/players/a/abernbi01.shtml,Bill Abernathie,False,False,1,13.50,2.500,2.0,,0,0,-0.1,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abernte01.shtml,Ted Abernathy,False,False,3,11.07,2.361,20.1,.000,0,13,-1.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abernte02.shtml,Ted Abernathy,False,False,14,3.46,1.395,1148.1,.477,63,765,15.9,149,0,0,0,0,0
http://www.baseball-reference.com/players/a/abernwo01.shtml,Woody Abernathy,False,False,2,3.64,1.119,42.0,.500,1,6,0.3,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/ablesha01.shtml,Harry Ables,False,False,3,4.04,1.528,71.1,.167,1,41,-1.9,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abramge01.shtml,George Abrams,False,False,1,9.64,2.786,4.2,,0,1,-0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abregjo01.shtml,Johnny Abrego,False,False,1,6.38,1.833,24.0,.500,1,13,-0.6,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreual01.shtml,Albert Abreu,False,True,2,5.68,1.368,38.0,.667,2,37,-0.2,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreubr01.shtml,Bryan Abreu,False,True,3,4.69,1.417,48.0,.500,3,52,-0.6,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreuju01.shtml,Juan Abreu,False,False,1,2.70,1.350,6.2,,0,12,0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/abreuwi01.shtml,Winston Abreu,False,False,3,7.31,1.714,44.1,.000,0,38,-0.8,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/accarje01.shtml,Jeremy Accardo,False,False,8,4.30,1.402,284.2,.333,10,205,1.9,38,0,0,0,0,0
http://www.baseball-reference.com/players/a/acevedo01.shtml,Domingo Acevedo,False,True,1,3.27,1.182,11.0,,0,9,0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/acevejo01.shtml,José Acevedo,False,False,5,5.74,1.447,368.1,.419,18,253,-2.5,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/aceveju01.shtml,Juan Acevedo,False,False,8,4.33,1.444,570.0,.412,28,350,2.7,53,0,0,0,0,0
http://www.baseball-reference.com/players/a/aceveal01.shtml,Alfredo Aceves,False,False,7,3.83,1.215,380.1,.660,31,282,4.2,29,1,0,0,0,0
http://www.baseball-reference.com/players/a/achteaj01.shtml,A.J. Achter,False,False,3,3.92,1.452,62.0,.667,2,33,0.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/ackerji01.shtml,Jim Acker,False,False,10,3.97,1.379,904.1,.402,33,482,5.6,30,0,0,0,0,0
http://www.baseball-reference.com/players/a/ackerto01.shtml,Tom Acker,False,False,4,4.12,1.354,380.1,.594,19,256,4.5,8,0,0,0,0,0
http://www.baseball-reference.com/players/a/acklefr01.shtml,Fritz Ackley,False,False,2,4.19,1.448,19.1,1.000,1,17,0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/acostcy01.shtml,Cy Acosta,False,False,4,2.66,1.183,186.0,.591,13,109,5.6,27,0,0,0,0,0
http://www.baseball-reference.com/players/a/acosted01.shtml,Ed Acosta,False,False,3,4.05,1.395,137.2,.400,6,70,0.0,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/acostjo01.shtml,José Acosta,False,False,3,4.51,1.561,213.1,.500,10,45,2.0,4,0,0,0,0,0
http://www.baseball-reference.com/players/a/acostma01.shtml,Manny Acosta,False,False,6,3.99,1.415,248.0,.500,13,219,0.9,9,0,0,0,0,0
http://www.baseball-reference.com/players/a/acrema01.shtml,Mark Acre,False,False,4,5.17,1.598,127.0,.600,9,98,0.5,2,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamja01.shtml,Jason Adam,False,True,4,4.71,1.315,78.1,.600,6,95,0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsac01.shtml,Ace Adams,False,False,6,3.47,1.384,552.2,.554,41,171,6.6,49,0,0,0,0,1
http://www.baseball-reference.com/players/a/adamsau01.shtml,Austin Adams,False,False,4,6.45,1.659,75.1,1.000,2,58,-0.6,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsau02.shtml,Austin Adams,False,True,5,3.99,1.268,94.2,.556,5,146,0.8,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsba01.shtml,Babe Adams,False,False,19,2.76,1.092,2995.1,.581,194,1036,52.7,16,2,0,0,0,0
http://www.baseball-reference.com/players/a/adamsbo01.shtml,Bob Adams,False,False,1,7.94,2.294,5.2,,0,1,0.0,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsbo02.shtml,Bob Adams,False,False,2,5.25,2.000,12.0,.000,0,5,-0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsch01.shtml,Chance Adams,False,False,3,8.42,1.848,41.2,.333,1,33,-1.1,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsda01.shtml,Dan Adams,False,False,2,3.74,1.444,171.0,.267,4,54,-1.1,3,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsem01.shtml,Emery Adams,False,False,10,4.61,1.490,414.0,.520,26,168,4.8,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsjo01.shtml,Joe Adams,False,False,1,9.00,2.750,4.0,,0,0,-0.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamska01.shtml,Karl Adams,False,False,2,5.01,1.452,115.0,.100,1,62,-2.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsmi03.shtml,Mike Adams,False,False,10,2.41,1.085,407.1,.512,21,409,10.1,4,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsre01.shtml,Red Adams,False,False,1,8.25,2.083,12.0,.000,0,8,-0.5,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsri01.shtml,Rick Adams,False,False,1,3.59,1.388,62.2,.286,2,25,0.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamste01.shtml,Terry Adams,False,False,11,4.17,1.461,869.1,.451,51,691,4.1,42,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamswi01.shtml,Willie Adams,False,False,5,4.37,1.572,284.1,.333,8,74,-3.3,2,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamswi02.shtml,Willie Adams,False,False,2,5.81,1.515,134.2,.400,6,105,0.9,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsjo02.shtml,Joel Adamson,False,False,3,4.89,1.432,110.1,.455,5,77,0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adamsmi01.shtml,Mike Adamson,False,False,3,7.46,1.974,25.1,.000,0,14,-0.9,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adcocna01.shtml,Nathan Adcock,False,False,4,4.17,1.480,123.0,.250,2,80,0.6,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adenhni01.shtml,Nick Adenhart,False,False,2,6.00,2.278,18.0,1.000,1,9,0.0,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkinde01.shtml,Dewey Adkins,False,False,3,5.64,1.657,99.0,.333,2,47,-0.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkindo01.shtml,Doc Adkins,False,False,2,5.00,1.926,27.0,.500,1,3,-0.9,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkingr01.shtml,Grady Adkins,False,False,2,4.34,1.540,363.0,.308,12,78,2.3,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkinjo01.shtml,Jon Adkins,False,False,6,4.54,1.507,138.2,.500,5,81,0.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adkinst01.shtml,Steve Adkins,False,False,1,6.38,2.000,24.0,.333,1,14,-0.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adlemti01.shtml,Tim Adleman,False,False,2,4.97,1.349,192.0,.375,9,155,0.7,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/adonjo01.shtml,Joan Adon,False,True,1,3.38,1.688,5.1,,0,9,0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/affelje01.shtml,Jeremy Affeldt,False,False,14,3.97,1.404,926.0,.483,43,720,9.7,28,3,0,0,0,0
http://www.baseball-reference.com/players/a/agostju01.shtml,Juan Agosto,False,False,13,4.01,1.416,626.1,.548,40,307,1.3,29,0,0,0,0,0
http://www.baseball-reference.com/players/a/agrazda01.shtml,Dario Agrazal,False,False,1,4.91,1.364,73.1,.444,4,41,0.7,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aguilmi01.shtml,Miguel Aguilar,False,True,1,6.43,1.429,7.0,.500,1,3,-0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aguilri01.shtml,Rick Aguilera,False,False,16,3.57,1.227,1291.1,.515,86,1030,21.9,318,2,0,0,0,3
http://www.baseball-reference.com/players/a/aguirha01.shtml,Hank Aguirre,False,False,16,3.25,1.232,1375.1,.510,75,856,17.8,33,0,0,0,1,2
http://www.baseball-reference.com/players/a/ahearpa01.shtml,Pat Ahearne,False,False,1,11.70,2.500,10.0,.000,0,4,-0.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/ainswku01.shtml,Kurt Ainsworth,False,False,4,5.19,1.555,126.2,.429,6,90,-0.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/aitchra01.shtml,Raleigh Aitchison,False,False,3,3.01,1.260,206.1,.500,12,101,1.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/akerja01.shtml,Jack Aker,False,False,11,3.28,1.277,746.0,.511,47,404,8.0,124,0,0,0,0,0
http://www.baseball-reference.com/players/a/akerfda01.shtml,Darrel Akerfelds,False,False,5,5.08,1.468,233.2,.474,9,129,-1.5,3,0,0,0,0,0
http://www.baseball-reference.com/players/a/akersje01.shtml,Jerry Akers,False,False,1,4.87,1.918,20.1,.500,1,11,-0.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/akinke01.shtml,Keegan Akin,False,True,2,6.19,1.550,120.2,.200,3,117,-0.1,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alanirj01.shtml,R.J. Alaniz,False,True,2,8.35,1.636,18.1,1.000,1,16,-0.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/albagi01.shtml,Gibson Alba,False,False,1,2.70,0.900,3.1,,0,3,0.0,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/albaljo01.shtml,Jonathan Albaladejo,False,False,5,4.34,1.422,76.2,.667,6,56,0.8,0,0,0,0,0,0
